Defined term,Definition,Reference1,Reference2
insulin lispro,Insulin lispro is an insulin hormone preparation for lowering the blood glucose level.,https://www.rxlist.com/humalog-drug/patient-images-side-effects.htm,
"intestine, perforation (perforation hollow viscus),",Intestine is torn.,,
intrahepatic fluid collection,Intrahepatic fluid collection occurs within the liver and can have one of several different causes.,https://www.lecturio.com/magazine/intrahepatic-biliary-system/,
intravascular stent,An intravascular stent is a device placed in a blood vessel to preserve appropriate passage of blood.,https://www.sciencedirect.com/science/article/pii/S001044851200070X,
intubated,The patient is being mechanically ventilated.,,
IPH,"IPH is intraparenchymal hemorrhage, or bleeding into the brain.",https://evidencebasedpractice.osumc.edu/Documents/Guidelines/ICH.pdf,
IS,immunosuppression,https://www.acronymfinder.com/Science-and-Medicine/IS.html,
IS,incentive spirometer,https://www.acronymfinder.com/Science-and-Medicine/IS.html,
IS,induced sputum,https://www.acronymfinder.com/Science-and-Medicine/IS.html,
IS,intercostal space,https://www.acronymfinder.com/Science-and-Medicine/IS.html,
IS,internal standard,https://www.acronymfinder.com/Science-and-Medicine/IS.html,
IS,ipecac syrup,https://www.acronymfinder.com/Science-and-Medicine/IS.html,
IS/OS,In the eye: photoreceptor inner segment/outer segment (IS/OS) junction layer ,https://iovs.arvojournals.org/article.aspx?articleid=2127688,
IU,IU = international units,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_I,
iu/l,These units are used to measure a variety of items in blood.,,
IV,intravenous,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_I,
IVC,inferior vena cava,records context,
IVF,in vitro fertilization,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_I,
IVF,intravenous fluids,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_I,
Januvia,Januvia is used to control blood sugar in those with Type 2 diabetes mellitus.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f85a48d0-0407-4c50-b0fa-7673a160bf01,
JP,"Jackson-Pratt drain, used to suction fluids from surgical site",https://en.wikipedia.org/wiki/Jackson-Pratt_drain,
JRA,JRA is juvenile rheumatoid arthritis or juvenile idiopathic arthritis.,https://en.wikipedia.org/wiki/Juvenile_idiopathic_arthritis,
k/mg/ca repleted,"Potassium (k), magnesium (mg), and calcium (ca) were given to try to restore normal levels.",,
k/ul,Units for counting neutrophils or white blood cells,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
k+ repleted,Potassium (k) was given to try to restore normal levels.,,
kg,kilogram,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_K,
klebsiella,acinetobacter and klebsiella bacteria are increasingly antibiotic resistant infections in hospitals.,https://academic.oup.com/jac/article/65/8/1807/741152,
knee degloving,Degloving is the traumatic peel back of the skin.,https://www.healthline.com/health/degloving,
kyphosis,Kyphosis is an exaggerated curvature of the upper (thoracic) spine that creates a hunchback appearance.,https://www.spine-health.com/glossary/kyphosis,
L,left,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
L,liter,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
LAA,LAA is large-artery atherosclerosis.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is L-ascorbic acid.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is left aortic arch.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is left atrial appendage.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is left auricular appendage.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is leukemia-associated antigen.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is leukocyte adhesiveness/aggregation.,https://www.allacronyms.com/LAA/medical,
LAA,LAA is leukocyte ascorbic acid.,https://www.allacronyms.com/LAA/medical,
labs,laboratory,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_L,
lactic acid,High lactic acid correlates with low oxygen.,,
lactic acid:0.6 mmol/l,Lactic acid is critical if it is 2 or greater.,https://www.uvmhealth.org/medcenter/Documents/Departments-and-Programs/Pathology%20Test%20Updates/lactic.pdf,
lactic acid:1.5 mmol/l,Lactic acid is critical if it is 2 or greater.,https://www.uvmhealth.org/medcenter/Documents/Departments-and-Programs/Pathology%20Test%20Updates/lactic.pdf,
lactic acid:1.7,Lactic acid is critical if it is 2 or greater.,https://www.uvmhealth.org/medcenter/Documents/Departments-and-Programs/Pathology%20Test%20Updates/lactic.pdf,
lactic acid:1.7 mmol/l,Lactic acid is critical if it is 2 or greater.,https://www.uvmhealth.org/medcenter/Documents/Departments-and-Programs/Pathology%20Test%20Updates/lactic.pdf,
lactulose,Lactulose is used to treat constipation and to treat liver disease.,https://medlineplus.gov/druginfo/meds/a682338.html,
LAD,lymphadenopathy,https://www.acronymfinder.com/Science-and-Medicine/LAD.html,
LAD,LAD is the  left anterior descending coronary artery.,https://www.cardiologysite.com/html/lad.html,
lap pad,A lap pad could mean a laparotomy pad for absorption of fluids from abdominal wounds.,https://medical-dictionary.thefreedictionary.com/laparotomy+pad,https://pulsemedical.net/shop/leaded-products/radiation-protection-lap-pad/
lap pad,A lap pad could mean a radiation protection lap pad for protecting organs from radiation.,https://medical-dictionary.thefreedictionary.com/laparotomy+pad,https://pulsemedical.net/shop/leaded-products/radiation-protection-lap-pad/
laparotomy,A laparotomy is an operation to look inside the abdomen and its organs.,https://www.healthdirect.gov.au/laparotomy,
large cell transformation,Large cell transformation (LCT) in mycosis fungoides (MF) is a feature of advanced cancer.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5042322/,
lasix,Lasix is a diuretic.,,
late precordial,Delayed QRS transition in the precordial leads of an electrocardiogram has been claimed to be a predictor of sudden cardiac death in the general population.,https://www.heartrhythmjournal.com/article/S1547-5271(14)00868-6/abstract,
lavage,Lavage is washing out of a body cavity with water or a medicated solution.,https://en.oxforddictionaries.com/definition/lavage,
LCS,"lids, conjunctiva, and sclera",http://www.globalrph.com/abbreviations_L.htm,
LCS,low constant suction,http://www.globalrph.com/abbreviations_L.htm,
LCWS ,"LCWS is low continuous wall suction, used in nursing.",https://www.acronymfinder.com/LCWS.html,
LDH,"LDH is lactate dehydrogenase, which is a marker of heart failure, cancer, anemia, lung disease, and liver disease.",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_L,
LDH:374 iu/l,"ldh is lactate dehydrogenase; when it is higher than 222, it is a marker of heart failure, cancer, anemia, lung disease, and liver disease",https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_L
LDH:99 iu/l,"ldh is lactate dehydrogenase, which is normally below 222.",https://www.mayoclinic.org/tests-procedures/liver-function-tests/about/pac-20394595,
LE,left,,
LE,lower extremity,,
LE,lupus erythematosus,,
LE BKA,This is left extremity (leg) below the knee amputation.,context,
lead v6,Lead v6 is the name of one of 12 leads used in an electrocardiogram (ECG).,https://ecg.utah.edu/lesson/1,
left IJ,"This is left internal jugular vein, used as a central venous access, in turn for rapid high-volume fluid administration, hemodynamic monitoring, medications, and blood sampling.",https://www.acep.org/uploadedFiles/ACEP/MeetingSites/SIM/Registration/Procedures%20Handouts%20ACEP%20SIM%202013.pdf,
left ventricular hypertrophy,Left ventricular hypertrophy is enlargement and thickening of the walls of your heart's main pumping chamber.  It can eventually lead to heart failure.,https://www.mayoclinic.org/diseases-conditions/left-ventricular-hypertrophy/symptoms-causes/syc-20374314,
Lepirudin,Lepirudin is given to counteract heparin-induced thrombocytopenia.,https://www.rxlist.com/refludan-drug.htm#indications,
leukemia,Leukemia is cancer of white blood cells.,https://www.webmd.com/cancer/lymphoma/understanding-leukemia-basics#1,
leukemoid reaction,"Leukemoid reaction is a noncancerous increase in white blood cell in response to infection, spleen removal, severe hemorrhage, organ necrosis, diabetic ketoacidosis, ethylene glycol, or drugs (sulfa, dapsone, glucocorticoids, G-CSF or related growth factors, all-trans retinoic acid).",https://en.wikipedia.org/wiki/Leukemoid_reaction,
levophed,"This is a brand name for norepinephrine, which is a pressor, given to raise blood pressure.",,
levothyroxine sodium,Levothyroxine sodium is used to treat underactive thyroid.,https://www.rxlist.com/consumer_levothyroxine/drugs-condition.htm,
lidocaine hcl,This is a local anesthetic for a medical procedure.,,
linezolid,"Linezolid is used to treat bacterial infections of lungs, skin, and blood.",https://medlineplus.gov/druginfo/meds/a602004.html,
lipase >3000,"Lipase is normally 0 to 160 u/L or 0 to 2.67 microkat/L; higher levels can be from bowel obstruction, celiac disease, duodenal ulcer, pancreatic cancer, pancreatitis, or pancreatic pseudocyst.",https://medlineplus.gov/ency/article/003465.htm,
lipitor,Lipitor is given to lower low-density blood lipids,,
liters positive,Phrase is used to indicate that  the body has extra liters of fluid.,,
LLE,"Lle is left lower extremity, which is the left leg.",,
LLL,left lower lobe (lung),https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_L,
LMCA,left main coronary artery,https://www.acronymfinder.com/Science-and-Medicine/LMCA.html,
LMCA,left middle cerebral artery,https://www.acronymfinder.com/Science-and-Medicine/LMCA.html,
loose melena,"Melena is only used to describe stool and is black, tarry, stools. Loose means diarrhea.","Wilson D. Chapter 85 Hematemesis, Melena, and Hematochezia. IN: Walker HK, Hall WD, Hurst JW, eds. Clinical Methods: The History, Physical, and Laboratory Examinations. 3rd ed. Boston: Butterworths; 1990. Https://www.ncbi.nlm.nih.gov/books/NBK411/.",https://www.healthgrades.com/right-care/digestive-health/loose-stool
lorazepam,Lorazepam is used to treat anxiety to allow for relaxation.,https://medlineplus.gov/druginfo/meds/a682053.html,
low svc,Low result of Slow Vital Capacity (lung function test),https://www.acronymfinder.com/Science-and-Medicine/SVC.html,
LP,"LP is a lumbar puncture, done to remove spinal fluid from the lower spinal canal to diagnose inflammatory diseases such as infections.",https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/lumbar-puncture,
LS,laparoscopic surgery,https://www.allacronyms.com/LS/medical,
LS,left side,https://www.allacronyms.com/LS/medical,
LS,light sleep,https://www.allacronyms.com/LS/medical,
LS,lumbosacral,https://www.allacronyms.com/LS/medical,
LS,lung sounds,https://www.allacronyms.com/LS/medical,
LS,length of stay,https://www.allacronyms.com/LS/medical,
LS diminished,"LS diminished means lung sounds were diminished, a sign of breathing problems.",https://www.rightdiagnosis.com/sym/diminished_breath_sounds.htm,
LUL,left upper lobe (lung),https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_L,
lung sounds,Lung sounds are used to help diagnose lung problems.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
lungs coarse,This indicates secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
lungs coarse bilat,This indicates secretions in the airways on both sides associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
lymph:9.2 %,Lymphocytes are normally 20 to 40% on the differential; increases and decreases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
lymphoid,Lymphoid refers to lymphocytes or the tissue in which lymphocytes develop.,https://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0022039/,
lymphoid tissue quiescent,Lymphoid tissue is normally quiescent.,,
lymphoid tissue quiescent germinal centers,Lymphoid tissue is normally quiescent.,,
lymphoma,Lymphoma is a cancer of the lymph system.,https://medlineplus.gov/lymphoma.html,
lytes,electrolytes,http://www.med.upenn.edu/student/documents/2010GuidetotheClinics_Jan2011_.pdf,
lytes repleted,Electrolytes were given to try to restore normal levels.,,
MAE,MAE means moves all extremities.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_A,globalrph.com/abbreviations_M.htm
Magna tissue valve,Magna tissue valve is a brand-name bioprosthetic heart valve.,https://www.edwards.com/devices/heart-valves/aortic-pericardial,
magnesium sulfate,"Magnesium sulfate is a drug to treat eclampsia, muscle spasm, barium poisoning, brain swelling, uncontrolled rapid heartbeat.",https://www.ncbi.nlm.nih.gov/pubmedhealth/?term=magnesium+sulfate,
maroonish,Dark red color used when describing stools and indicates GI bleeding.,,
mask trials,Mask trials are part of the process of weaning a patient off of mechanical ventilation.,,
MCA,MCA is middle cerebral artery.,https://en.wikipedia.org/wiki/Middle_cerebral_artery,
mcg/hour,"The only treatment I found that is measured in these units is a bolus of octreotide, usually used to inhibit growth hormone, also used to control diarrhea and flushing due to cancer.",http://www.ucdenver.edu/academics/colleges/medicalschool/departments/surgery/divisions/Trauma/Trauma-at-UCH/Documents/SICU-Protocols/Vasoactives-Reference-Card.pdf,
mcg/hr,"The only treatment I found that is measured in these units is a bolus of octreotide, usually used to inhibit growth hormone, also used to control diarrhea and flushing due to cancer.",http://www.ucdenver.edu/academics/colleges/medicalschool/departments/surgery/divisions/Trauma/Trauma-at-UCH/Documents/SICU-Protocols/Vasoactives-Reference-Card.pdf,
MD,"MD could mean maintenance dialysis, maintenance dose, multiple dose, or medical doctor.",globalrph.com/abbreviations_M.htm,
MD aware,Clinician was concerned enough to directly report problem to physician in charge.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
MDI,metered dose inhaler,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_M,https://www.acronymfinder.com/Science-and-Medicine/MDI.html
MDI,mean daily intake,https://www.acronymfinder.com/Science-and-Medicine/MDI.html,
MDI,medically-determined impairment,https://www.acronymfinder.com/Science-and-Medicine/MDI.html,
MDI,Michelson Doppler Imager,https://www.acronymfinder.com/Science-and-Medicine/MDI.html,
MDI,mini dental implant,https://www.acronymfinder.com/Science-and-Medicine/MDI.html,
MDI,multiple daily injections,https://www.acronymfinder.com/Science-and-Medicine/MDI.html,
MDI,multiple dose inhaler,https://www.acronymfinder.com/Science-and-Medicine/MDI.html,
Meckel's scan,Meckel's scan is an image done to find an abnormal section of bowel.,https://my.clevelandclinic.org/health/diagnostics/17214-meckels-scan,
median sternotomy,"Median sternotomy is a type of surgical procedure in which a vertical inline incision is made along the sternum, after which the sternum itself is divided, or ""cracked"". This procedure provides access to the heart and lungs for surgical procedures such as heart transplant, corrective surgery for congenital heart defects, or coronary artery bypass surgery.",https://en.wikipedia.org/wiki/Median_sternotomy,
mediastinal drain,A mediastinal drain is a chest tube inserted after cardiothoracic surgery.,https://www.rch.org.au/rchcpg/hospital_clinical_guideline_index/pleural_and_mediastinal_drain_management_after_cardiothoracic_surgery/,
meds,medications,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_M,
melanous stool,"This is the passage of dark tarry stools containing decomposing blood that usually indicates bleeding in the upper GI tract (esophagus, stomach, duodenum).",https://www.merriam-webster.com/medical/melena,
melena,"This is the passage of dark tarry stools containing decomposing blood that usually indicates bleeding in the upper GI tract (esophagus, stomach, duodenum).",https://www.merriam-webster.com/medical/melena,
melena liquid,Melena is only used to describe stool. Liquid means the patient has diarrhea.,https://www.healthgrades.com/right-care/digestive-health/loose-stool,
mEq,milliequivalent,https://medical-dictionary.thefreedictionary.com/mEq,
mEq,a measure of potassium chloride infusion,https://www.med.upenn.edu/resuscitation/docs/protocols/TherapeuticTemperatureMgmtOrderSetCOOLING.pdf,
mEq/L,mEq/L are the units when measuring potassium or blood CO2 levels.,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
MERCI,MERCI is mechanical embolus removal in cerebral ischemia.,Text of a MIMIC discharge summary.,
meropenum,Meropenem injection is an antibiotic used to treat skin and abdominal (stomach area) infections caused by bacteria and meningitis (infection of the membranes that surround the brain and spinal cord).,https://medlineplus.gov/druginfo/meds/a696038.html,
metabolic alkalosis,"metabolic alkalosis is higher alkanility of the blood, and has several possible causes.",https://medlineplus.gov/ency/article/001183.htm,
metabolic cart,Metabolic cart is a device used to measure the caloric needs of a person.,http://ispub.com/IJIM/3/2/4212,
metas/p,metasticized?,,
metastatic,Metastatic means cell or bacterium movement from one part of the body to another.,Medical Dictionary. Farlex and Partners. 2009.,
metastatic,Metastatic means cell or bacterium movement from one part of the body to another.,Medical Dictionary. Farlex and Partners. 2009.,
metastatic germ cell tumor,Metastatic germ cell tumor is cancer of the testes or ovary that has formed a tumor in another part of the body.,Medical Dictionary. Farlex and Partners. 2009.,https://www.webmd.com/cancer/germ-cell-tumors#1
Methergine,Methergine is given to control bleeding during delivery of a baby or after delivery of the placenta.,https://www.rxlist.com/methergine-drug.htm#indications,
methotrexate,Methotrexate is used to treat autoimmune disorders and some cancers.,https://medlineplus.gov/druginfo/meds/a682019.html,
methotrexate,Methotrexate is used to treat autoimmune disorders and some cancers.,https://medlineplus.gov/druginfo/meds/a682019.html,
metoclopramide,Metoclopramide is a drug to relieve symptoms of gastroesophageal reflux disease.,https://www.ncbi.nlm.nih.gov/pubmedhealth/?term=metoclopramide,
metolazone,Metolazone is a diuretic.,https://www.rxlist.com/consumer_metolazone_zaroxolyn/drugs-condition.htm,
mexiletine,"Mexiletine is a drug used to treat ventricular arrhythmias, such as ventricular tachycardia.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=693da40b-26d4-40d6-87d1-158e256f40ab,
Mg,magnesium,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_M,
MG,myasthenia gravis,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_M,
mg,milligrams,,
mg three times,Mg three times is part of a medication prescription.,,
mg:1.9 mg/dl,Normal level of magnesium is 1.0 to 3.5 mg/dl.,,
micafungin,Micafungin is used to treat fungal infection.,https://www.rxlist.com/mycamine-drug.htm#description,
MICU A,medical intensive care unit A,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
MICU B,medical intensive care unit B,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
MID,maximum inhibitory dilution,https://allacronyms.com/MID/medical,
MID,minimal ineffective dose,https://allacronyms.com/MID/medical,
MID,minimum inhibitory dose,https://allacronyms.com/MID/medical,
MID,multi-infarct dementia,https://allacronyms.com/MID/medical,
MID,minimal infectious dose,https://www.merriam-webster.com/medical/minimal%20infectious%20dose,
midazolam,"Midazolam is given before surgery to cause drowsiness, relieve anxiety, and prevent memory of the event.",https://medlineplus.gov/druginfo/meds/a609003.html,
middle colic artery,The middle colic artery is one of three arteries that supply the large intestine.,https://www.merriam-webster.com/medical/colic%20artery,
mild aortic regurgitation is seen,"Mild aortic regurgitation is seen means that on image, one of the heart valves is mildly dysfunctional.",,
milrinone,Milrinone is a drug used to treat heart failure.,https://www.ncbi.nlm.nih.gov/pubmedhealth/?term=milrinone,
MIN,mammary intraepithelial neoplasia,https://allacronyms.com/MIN/medical,
MIN,minimal,https://allacronyms.com/MIN/medical,
MIN,minimally invasive neurosurgery,https://allacronyms.com/MIN/medical,
min,minute,https://allacronyms.com/MIN/medical,
MIN,multiple intestinal neoplasia,https://allacronyms.com/MIN/medical,
mitral valve insufficiency,"Mitral valve insufficiency, also called mitral valve regurgitation or mitral incompetence, is a condition that impairs the ability of the heart to pump blood to the body and can lead to fatigue, shortness of breath, congestive heart failure, or heart rhythm problems.",https://www.mayoclinic.org/diseases-conditions/mitral-valve-regurgitation/symptoms-causes/syc-20350178,
mmHg,unit of pressure,,
mMol,"unit of measure, for example of sodium phosphate infusion",https://www.med.upenn.edu/resuscitation/docs/protocols/TherapeuticTemperatureMgmtOrderSetCOOLING.pdf,
MOD,maturity-onset diabetes,http://www.globalrph.com/abbreviations_M2.htm,
MOD,medical officer of the day,http://www.globalrph.com/abbreviations_M2.htm,
MOD,mode of death,http://www.globalrph.com/abbreviations_M2.htm,
MOD,moderate,http://www.globalrph.com/abbreviations_M2.htm,
MOD,moderate dysplasia,http://www.globalrph.com/abbreviations_M2.htm,
mod,moderate,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_M,
mod,modified,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_M,
mod th pale yellow,"""Moderately thick pale yellow"" probably refers to lung secretions.",,
mod th pale yellow.,Thick and yellow implies an infection.,https://www.healthline.com/health/green-phlegm#green-or-yellow-phlegm,
MOF,multiple organ failure,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
MONO,mononucleosis,"https://medlineplus.gov/infectiousmononucleosis.html#:~:text=Infectious%20mononucleosis%2C%20or%20""mono"",sometimes%20called%20""kissing%20disease.""",
MONO,monocyte,https://www.abbreviations.com/MONO,
mono:3.9 %,Monocytes are normally 2 to 8% on the differential; increases can be due to a large number of reasons.,https://medlineplus.gov/ency/article/003657.htm,
movements extremeties,Patient can move their arms and legs.,,
MR,magnetic resonance,https://www.acronymfinder.com/Science-and-Medicine/MR.html,
MR,medical records,https://www.acronymfinder.com/Science-and-Medicine/MR.html,
MR,metabolic rate,https://www.acronymfinder.com/Science-and-Medicine/MR.html,
MR,mitral regurgitation,https://www.acronymfinder.com/Science-and-Medicine/MR.html,
MR,myocardial revascularization,https://www.acronymfinder.com/Science-and-Medicine/MR.html,
MRSA,"MRSA is multi-resistant staph-aureus, an infection.",,
muddy brown casts urine analysis,"Muddy brown casts in urine are cells that sloughed off renal tubular epithelial cells, and indicate acute tubular necrosis, which is one of the causes of acute kidney injury.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572284/,
MUE,"MUE is ""medically unlikely edits"" and is a financial billing rule.",https://med.noridianmedicare.com/web/jeb/topics/claim-submission/medically-unlikely-edits,
multiple myeloma,"Multiple myeloma, also called plasma cell myeloma, is plasma cell cancer that spreads through the bone marrow and hard outer portions of the large bones.",https://www.encyclopedia.com/medicine/diseases-and-conditions/pathology/multiple-myeloma,
mushroom,"The mushroom is part of the mechanical ventilation system, involved with breathing out.",https://academic.oup.com/bjaed/article/8/6/199/406231,
MVC,MVC is motor vehicle crash.,https://www.allacronyms.com/_medical/MVC,
MVR,MVR is minute volume of respiration.,https://acronyms.thefreedictionary.com/MVR,
MVR,MVR is mitral valve regurgitation.,https://acronyms.thefreedictionary.com/MVR,
MVR,MVR is mitral valve repair.,https://acronyms.thefreedictionary.com/MVR,
MVR,MVR is mitral valve ring.,https://acronyms.thefreedictionary.com/MVR,
MVR,MVR is mitral valve replacement.,https://www.acc.org/latest-in-cardiology/journal-scans/2017/11/09/14/02/mechanical-or-biologic-prostheses-for-av-and-mv-replacement,
MVR,MVR is monitoring visit report in the setting of clinical trials.,https://www.acronymfinder.com/Monitoring-Visit-Report-(clinical-trials)-(MVR).html,
myocardial infarction,Myocardial infarction is the irreversible death of some heart muscle due to blockage of 1 or more arteries to the heart muscle.,https://emedicine.medscape.com/article/155919-overview,
myxoma,Myxoma is a benign tumor of mucous connective tissue.,https://cancerwall.com/myxoma/,
n.s.,not significant,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,https://www.allacronyms.com/NS/medical
n/v,nausea and vomiting,https://www.acronymfinder.com/N%2fV.html,
N/V,nausea/vomiting,https://www.acronymfinder.com/Science-and-Medicine/N%2fV.html,
N/V,neurovascular,https://www.acronymfinder.com/Science-and-Medicine/N%2fV.html,
NAD,no acute distress,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
necrosis,Necrosis is dead tissue.,,
necrotizing,Necrotizing refers to dead tissue.,,
necrotizing myopathy,Necrotizing myopathy is a muscle problem involving muscle cell death.,https://www.myositis.org/about-myositis/types-of-myositis/necrotizing-myopathy/,
necrotizing pancreatitis,Necrotizing pancreatitis is a part of the pancreas has died due to inflammation or injury.,https://www.saintlukeskc.org/health-library/necrotizing-pancreatitis,
Neo,Neo is neodecadron and is a steroid for treating some inflammatory conditions of the eye.,https://www.rxlist.com/drugs/alpha_n.htm#NeNh,
Neo,Neo is neosalus for hydrating the skin.,https://www.rxlist.com/drugs/alpha_n.htm#NeNh,
Neo,"Neo is neosynephrine is a decongestant and vasoconstrictor, and used to treat a variety of eye problems.",https://www.rxlist.com/drugs/alpha_n.htm#NeNh,
Neo,Neo is Neomycin and is an antibiotic.,https://www.rxlist.com/neo-fradin-drug.htm,
Neo,"Neo is neoprofen, a drug given to treat patent ductus arteriosus in infants.",https://www.rxlist.com/neoprofen-drug.htm#dosage,
Neo,"Neo is neostigmine, which is given to treat symptoms of myasthenia gravis.",https://www.rxlist.com/prostigmin-drug.htm#indications,
Neo,"Neo is NeoTect, wihich is a diagnostic radiopharmaceutical.",https://www.rxlist.com/prostigmin-drug.htm#indications,
nephrostogram,"A nephrostogram is a radiologic exam that determines if the kidneys drain sufficiently into the ureters and bladder, or to see a nephrostomy tube when it is being placed or checked.",https://www.susquehannahealth.org/sites/default/files/inline-files/Nephrostogram_0.pdf,
Nepro,"A brand of enteral food for patients with acute renal failure or acute kidney injury, or receiving hemodialysis or continuous renal replacement therapy. ",http://static.abbottnutrition.com/cms-prod/abbottnutrition.com/img/74470_004%20Crit%20Care%20Leave%20Behind_FINAL.pdf,
Neuro,neurology,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,
Neuro ICU,Neurology intensive care unit,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
neuro- sedated,sedated,,
neutropenia,Neutropenia means there are too few white blood cells.,https://www.medicalnewstoday.com/articles/265373.php,
new issues,Patient got worse.,,
ng,negative,http://www.med.upenn.edu/student/documents/2010GuidetotheClinics_Jan2011_.pdf,
NG,nasogastric,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,
NGT,Nasogastric tube is one of 3 enteral feeding tube types to be used on ventilated patients.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,http://www.surgicalcriticalcare.net/Guidelines/feeding%20algorithm.pdf
NHL,NHL is Non-Hodgkin lymphoma.,https://medlineplus.gov/ency/article/000581.htm,
Nimbex,"Nimbex is cisatracurium, which is a drug to relax muscles.",dailymed.nlm.nih.gov/dailymed,
no M,no heart murmur,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
Normocarb HF,Normocarb HF is a replacement solution used in hemofiltration or hemodiafiltration,https://www.rxlist.com/normocarb-hf-drug.htm,
NPN,NPN (nonprotein nitrogen) is measured when liver disease is assessed in addition to kidney disease.,http://mt-lectures.blogspot.com/2016/06/lecture-8-non-protein-nitrogenous.html,https://medical-dictionary.thefreedictionary.com/NPN
NPO,nothing by mouth,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,
NRB,nonrebreather,http://www.globalrph.com/abbreviations_N.htm,
NS,normal saline,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N,https://www.allacronyms.com/NS/medical
NS,nasal spray,https://www.allacronyms.com/NS/medical,
NS,nephrotic syndrome,https://www.allacronyms.com/NS/medical,
NS,nervous system,https://www.allacronyms.com/NS/medical,
NS,neurosurgery,https://www.allacronyms.com/NS/medical,
NS,nodular sclerosis,https://www.allacronyms.com/NS/medical,
NS,nonsmoking,https://www.allacronyms.com/NS/medical,
NS,nonspecific,https://www.allacronyms.com/NS/medical,
NS,normal saline,https://www.allacronyms.com/NS/medical,
NS,not sufficient,https://www.allacronyms.com/NS/medical,
NS,nuclear sclerosis,https://www.allacronyms.com/NS/medical,
NSAID,"NSAIDs are nonsteroidal anti-inflammatory drugs used to treat pain, fever, and swelling.",https://www.webmd.com/arthritis/features/pain-relief-how-nsaids-work#1,
nsg,nursing,,
NSR,NSR is normal sinus rhythm.,https://www.allacronyms.com/_medical/NSR,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_N
NSTEMI,"NSTEMI is non-ST-segment elevation myocardial infarction, a type of heart attack.",https://www.acronymfinder.com/Science-and-Medicine/NSTEMI.html,
NTG,NTG is nitroglycerine.,https://www.acronymfinder.com/Science-and-Medicine/NTG.html,
